                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.3208,                0.72087,                 1.0023,                0.91644,                0.91036,                0.94256,                0.57605,                 1.3738,                0.66153,                  1.099,               0.005644,               0.005644,               0.005644
                     46,                 1.2846,                0.70827,                0.99498,                0.91574,                0.92352,                0.95153,                 0.5662,                 1.3827,                0.65182,                 1.0985,               0.005545,               0.005545,               0.005545
                     47,                 1.2968,                0.70744,                0.99531,                0.89347,                0.92095,                0.93774,                 0.5723,                 1.3646,                0.65736,                 1.0913,               0.005446,               0.005446,               0.005446
                     48,                 1.2829,                0.71049,                0.99535,                0.90265,                0.90711,                0.94476,                0.56266,                 1.3739,                 0.6524,                 1.0954,               0.005347,               0.005347,               0.005347
                     49,                 1.2642,                0.70257,                0.99084,                0.89416,                0.92885,                0.95969,                0.57461,                 1.3593,                0.64567,                 1.0883,               0.005248,               0.005248,               0.005248
                     50,                 1.2639,                 0.6764,                0.98499,                0.91598,                0.92645,                0.94762,                0.59427,                 1.3009,                0.64378,                 1.0602,               0.005149,               0.005149,               0.005149
                     51,                 1.2499,                0.68307,                 0.9801,                0.89917,                0.91304,                0.94706,                0.58687,                 1.3404,                0.64061,                 1.0866,                0.00505,                0.00505,                0.00505
                     52,                 1.2415,                 0.6831,                0.98357,                0.91275,                0.93281,                0.96137,                0.59942,                 1.3046,                0.62941,                 1.0682,               0.004951,               0.004951,               0.004951
                     53,                 1.2494,                0.67389,                0.97811,                0.92593,                0.91405,                0.95897,                0.58872,                 1.3138,                0.62331,                 1.0717,               0.004852,               0.004852,               0.004852
                     54,                 1.2246,                0.65951,                0.97083,                 0.9257,                0.93281,                0.95812,                0.59205,                 1.3107,                0.62477,                 1.0764,               0.004753,               0.004753,               0.004753
                     55,                 1.2257,                0.65977,                 0.9793,                0.91809,                 0.9303,                0.96106,                 0.6047,                 1.3016,                0.61723,                 1.0701,               0.004654,               0.004654,               0.004654
                     56,                 1.2104,                 0.6592,                0.97117,                0.93203,                0.92144,                0.96151,                0.60968,                 1.2873,                0.59821,                 1.0646,               0.004555,               0.004555,               0.004555
                     57,                  1.207,                0.64902,                0.96697,                0.93317,                0.93832,                 0.9641,                0.61575,                 1.2597,                0.59079,                 1.0542,               0.004456,               0.004456,               0.004456
                     58,                 1.1868,                 0.6422,                0.96693,                0.92219,                0.94862,                0.96382,                0.60976,                 1.2583,                0.59974,                 1.0535,               0.004357,               0.004357,               0.004357
                     59,                   1.17,                0.62196,                0.95228,                0.92494,                0.93874,                0.96937,                0.62524,                  1.248,                0.58196,                 1.0523,               0.004258,               0.004258,               0.004258
                     60,                  1.174,                 0.6288,                0.96346,                0.93828,                 0.9313,                0.96399,                0.62072,                 1.2285,                0.57531,                  1.045,               0.004159,               0.004159,               0.004159
                     61,                   1.16,                0.62901,                0.95108,                0.93514,                0.93083,                0.96908,                0.62976,                 1.2325,                 0.5694,                 1.0381,                0.00406,                0.00406,                0.00406
                     62,                 1.1392,                0.61033,                0.95167,                0.92707,                0.92885,                0.96038,                 0.6284,                 1.2425,                0.55987,                 1.0463,               0.003961,               0.003961,               0.003961
                     63,                 1.1537,                0.61151,                0.95162,                0.92333,                0.93478,                0.95863,                0.63092,                 1.2037,                0.56654,                 1.0368,               0.003862,               0.003862,               0.003862
                     64,                 1.1399,                  0.606,                0.94165,                0.94763,                0.93676,                0.96791,                0.63065,                 1.1919,                0.55452,                 1.0356,               0.003763,               0.003763,               0.003763
                     65,                 1.1168,                 0.5864,                0.94273,                0.93672,                 0.9249,                0.96339,                0.63796,                 1.2097,                0.55578,                 1.0349,               0.003664,               0.003664,               0.003664
                     66,                 1.0986,                0.58864,                0.93634,                0.92979,                0.94466,                0.96565,                  0.639,                 1.1946,                0.55109,                 1.0303,               0.003565,               0.003565,               0.003565
                     67,                 1.1096,                0.59259,                0.93744,                0.93493,                0.93874,                0.96138,                0.63282,                 1.1914,                0.55451,                 1.0383,               0.003466,               0.003466,               0.003466
                     68,                  1.105,                0.60433,                0.94271,                0.93311,                0.93734,                 0.9667,                0.63153,                  1.188,                0.55728,                 1.0294,               0.003367,               0.003367,               0.003367
                     69,                 1.0983,                 0.5899,                0.93781,                0.94273,                0.93478,                0.96713,                0.64011,                  1.178,                0.54512,                 1.0281,               0.003268,               0.003268,               0.003268
                     70,                 1.0712,                0.56761,                0.92027,                0.94773,                 0.9317,                0.96803,                0.65007,                  1.166,                0.53688,                 1.0223,               0.003169,               0.003169,               0.003169
                     71,                 1.0631,                0.56876,                0.93021,                0.94069,                0.94028,                0.96605,                0.65224,                 1.1522,                0.53084,                 1.0192,                0.00307,                0.00307,                0.00307
                     72,                 1.0445,                0.55684,                0.92078,                0.93111,                0.94466,                0.96179,                0.66543,                 1.1145,                0.52864,                 1.0086,               0.002971,               0.002971,               0.002971
                     73,                 1.0557,                0.56941,                 0.9196,                0.94224,                0.93281,                0.97066,                0.65558,                 1.1326,                0.52647,                  1.016,               0.002872,               0.002872,               0.002872
                     74,                 1.0389,                0.56324,                0.92684,                0.95379,                0.93827,                 0.9679,                0.66862,                 1.1079,                0.51364,                 1.0049,               0.002773,               0.002773,               0.002773
                     75,                 1.0286,                0.56076,                0.91702,                0.94036,                0.94664,                0.96668,                0.66482,                 1.1126,                0.51754,                 1.0111,               0.002674,               0.002674,               0.002674
                     76,                 1.0242,                0.55687,                0.91733,                0.94062,                0.93911,                0.96878,                0.66113,                 1.1178,                0.50861,                 1.0195,               0.002575,               0.002575,               0.002575
                     77,                 1.0145,                0.55033,                0.92062,                0.94022,                0.95257,                0.96213,                0.66986,                 1.1179,                0.50205,                 1.0127,               0.002476,               0.002476,               0.002476
                     78,                 1.0039,                0.54075,                0.90543,                0.94749,                0.93874,                0.96707,                0.67187,                 1.0856,                0.49944,                 1.0009,               0.002377,               0.002377,               0.002377
                     79,                0.99721,                0.54293,                0.91276,                0.92912,                 0.9585,                0.97359,                0.68013,                 1.0903,                0.50407,                  1.003,               0.002278,               0.002278,               0.002278
                     80,                0.98473,                0.52602,                0.90957,                0.93523,                0.95652,                0.96554,                0.68159,                 1.0807,                0.49263,                 1.0023,               0.002179,               0.002179,               0.002179
                     81,                0.97206,                0.52459,                0.89827,                 0.9259,                0.96443,                0.97129,                0.69108,                  1.063,                0.48503,                0.99206,                0.00208,                0.00208,                0.00208
                     82,                0.96567,                0.52542,                0.90067,                0.94775,                  0.932,                0.97124,                0.69104,                 1.0558,                0.48837,                 0.9926,               0.001981,               0.001981,               0.001981
                     83,                 0.9707,                0.52005,                0.90141,                0.94912,                0.94071,                0.97232,                0.69693,                 1.0305,                0.47987,                0.98325,               0.001882,               0.001882,               0.001882
                     84,                0.95849,                0.51829,                0.90534,                0.95749,                0.93476,                0.97325,                0.69696,                 1.0349,                0.47836,                0.98543,               0.001783,               0.001783,               0.001783
                     85,                0.94686,                0.50958,                 0.9007,                0.95356,                0.93322,                0.97005,                0.69935,                 1.0192,                 0.4754,                0.97993,               0.001684,               0.001684,               0.001684
                     86,                0.94513,                0.51084,                0.90005,                0.95284,                0.94269,                0.97386,                0.70327,                0.99868,                0.47448,                0.97425,               0.001585,               0.001585,               0.001585
                     87,                0.91289,                0.48281,                0.88735,                0.93989,                0.95787,                 0.9695,                0.70476,                 1.0064,                0.46794,                0.97307,               0.001486,               0.001486,               0.001486
                     88,                0.92003,                0.49053,                0.88946,                0.95097,                0.94071,                0.96847,                0.70722,                 1.0063,                0.46861,                 0.9791,               0.001387,               0.001387,               0.001387
                     89,                0.92807,                  0.492,                0.89294,                0.93429,                0.95545,                0.97182,                0.70799,                 1.0018,                0.46282,                0.97814,               0.001288,               0.001288,               0.001288
                     90,                0.89516,                  0.461,                0.90406,                0.94481,                0.94731,                0.97051,                0.69837,                 1.0162,                0.46684,                0.97698,               0.001189,               0.001189,               0.001189
                     91,                0.86321,                 0.4469,                0.89237,                0.94833,                0.95455,                0.97356,                0.70476,                 1.0148,                0.46252,                0.98135,                0.00109,                0.00109,                0.00109
                     92,                0.84573,                 0.4366,                0.88556,                0.94514,                0.95343,                0.97291,                0.71217,                0.98845,                0.45285,                0.97644,               0.000991,               0.000991,               0.000991
                     93,                0.85023,                0.43563,                0.89179,                0.94662,                 0.9585,                0.97456,                0.71934,                0.97351,                0.44889,                0.97187,               0.000892,               0.000892,               0.000892
                     94,                0.82816,                0.43098,                0.88574,                0.93691,                0.95652,                0.97016,                0.71466,                0.97654,                0.45213,                0.96962,               0.000793,               0.000793,               0.000793
                     95,                0.82593,                0.43042,                0.88699,                0.93806,                0.95779,                0.96975,                0.71617,                0.96622,                0.44662,                0.96372,               0.000694,               0.000694,               0.000694
                     96,                0.81223,                0.42713,                0.88432,                0.95174,                 0.9585,                0.97439,                0.72532,                0.94787,                0.43906,                0.96047,               0.000595,               0.000595,               0.000595
                     97,                0.80452,                0.42502,                0.87876,                0.94561,                0.96214,                0.97547,                0.72581,                0.94587,                0.44029,                0.96196,               0.000496,               0.000496,               0.000496
                     98,                0.79304,                0.41404,                0.87652,                0.94895,                 0.9585,                0.97464,                0.72775,                0.94002,                0.43992,                0.96316,               0.000397,               0.000397,               0.000397
                     99,                 0.7915,                0.41242,                0.87762,                0.94843,                0.95257,                0.97471,                0.72439,                0.93756,                0.43458,                0.96221,               0.000298,               0.000298,               0.000298
